id;sample;title;author;year;coef;significance;coded;tot_attributes;tasks;n_levels_biggests_attribute;n_sample
1;1;Conditional legitimacy: How turnout, majority size, and outcome affect perceptions of legitimacy in European Union membership referendums;Arnesen, Broderstad, Johannesson, & Linde;2019;0.1;1;FIGURE 1;3;1;4;1066
1;1;Conditional legitimacy: How turnout, majority size, and outcome affect perceptions of legitimacy in European Union membership referendums;Arnesen, Broderstad, Johannesson, & Linde;2019;0.09;1;FIGURE 1;3;1;4;1066
1;1;Conditional legitimacy: How turnout, majority size, and outcome affect perceptions of legitimacy in European Union membership referendums;Arnesen, Broderstad, Johannesson, & Linde;2019;0.04;0;FIGURE 1;3;1;4;1066
1;1;Conditional legitimacy: How turnout, majority size, and outcome affect perceptions of legitimacy in European Union membership referendums;Arnesen, Broderstad, Johannesson, & Linde;2019;0.04;0;FIGURE 1;3;1;4;1066
1;1;Conditional legitimacy: How turnout, majority size, and outcome affect perceptions of legitimacy in European Union membership referendums;Arnesen, Broderstad, Johannesson, & Linde;2019;0.12000000000000001;1;FIGURE 1;3;1;4;1066
1;1;Conditional legitimacy: How turnout, majority size, and outcome affect perceptions of legitimacy in European Union membership referendums;Arnesen, Broderstad, Johannesson, & Linde;2019;0.045;0;FIGURE 1;3;1;4;1066
1;1;Conditional legitimacy: How turnout, majority size, and outcome affect perceptions of legitimacy in European Union membership referendums;Arnesen, Broderstad, Johannesson, & Linde;2019;0.05;0;FIGURE 1;3;1;4;1066
1;1;Conditional legitimacy: How turnout, majority size, and outcome affect perceptions of legitimacy in European Union membership referendums;Arnesen, Broderstad, Johannesson, & Linde;2019;0.15000000000000002;1;FIGURE 1;3;1;4;1066
1;1;Conditional legitimacy: How turnout, majority size, and outcome affect perceptions of legitimacy in European Union membership referendums;Arnesen, Broderstad, Johannesson, & Linde;2019;0.33999999999999997;1;FIGURE 1;3;1;4;1066
2;1;Fit for the Job: Candidate Qualifications and Vote Choice in Low Information Elections;Atkeson & Hamel;2020;0.04;1;FIGURE 3;5;3;5;1500
2;1;Fit for the Job: Candidate Qualifications and Vote Choice in Low Information Elections;Atkeson & Hamel;2020;0.045;1;FIGURE 3;5;3;5;1500
2;1;Fit for the Job: Candidate Qualifications and Vote Choice in Low Information Elections;Atkeson & Hamel;2020;0;0;FIGURE 3;5;3;5;1500
2;1;Fit for the Job: Candidate Qualifications and Vote Choice in Low Information Elections;Atkeson & Hamel;2020;0.07500000000000001;1;FIGURE 3;5;3;5;1500
2;1;Fit for the Job: Candidate Qualifications and Vote Choice in Low Information Elections;Atkeson & Hamel;2020;-0.12000000000000001;1;FIGURE 3;5;3;5;1500
2;1;Fit for the Job: Candidate Qualifications and Vote Choice in Low Information Elections;Atkeson & Hamel;2020;0.18;1;FIGURE 3;5;3;5;1500
